,-0.015875,0.243918054,,-0.015875
-0.0015875,-0.0193675,0.243918054,,-0.0193675
0,-0.0155575,0.243918054,,-0.0155575
-0.0003175,-0.014605,0.244043044,,-0.014605
0,-0.0155575,0.243980533,,-0.0155575
0,-0.01778,0.244043044,,-0.01778
0,-0.0142875,0.243980533,,-0.0142875
0,-0.0168275,0.244043044,,-0.0168275
0.0009525,-0.0142875,0.243980533,,-0.0142875
0,-0.017145,0.243980533,,-0.017145
0,-0.0161925,0.244043044,,-0.0161925
0,-0.0168275,0.243980533,,-0.0168275
0.00127,-0.0180975,0.243918054,,-0.0180975
0,-0.014605,0.243980533,,-0.014605
0,-0.0142875,0.243918054,,-0.0142875
-0.00127,-0.0155575,0.243980533,,-0.0155575
0,-0.017145,0.243980533,,-0.017145
0,-0.0168275,0.243357179,,-0.0168275
0,-0.01651,0.243357179,,-0.01651
0.0003175,-0.013335,0.243357179,,-0.013335
0,-0.015875,0.243357179,,-0.015875
0,-0.0168275,0.243357179,,-0.0168275
0.0003175,-0.0174625,0.243357179,,-0.0174625
-0.0003175,-0.01397,0.243357179,,-0.01397
0,-0.01651,0.243357179,,-0.01651
0,-0.015875,0.243357179,,-0.015875
0,-0.0168275,0.243357179,,-0.0168275
0,-0.017145,0.243357179,,-0.017145
-0.0003175,-0.015875,0.243357179,,-0.015875
0,-0.0155575,0.243357179,,-0.0155575
0.0003175,-0.0161925,0.256455468,,-0.0161925
0,-0.0174625,0.243295019,,-0.0174625
0.0003175,-0.0142875,0.243357179,,-0.0142875
0.0003175,-0.0180975,0.243357179,,-0.0180975
0.0003175,-0.0168275,0.243419371,,-0.0168275
0.0003175,-0.01651,0.256455468,,-0.01651
0,-0.0149225,0.243295019,,-0.0149225
0,-0.018415,0.243295019,,-0.018415
0,-0.0149225,0.243295019,,-0.0149225
0.0003175,-0.0149225,0.243357179,,-0.0149225
0,-0.0200025,0.243419371,,-0.0200025
0.000635,-0.0155575,0.243357179,,-0.0155575
0,-0.0136525,0.243419371,,-0.0136525
0.0003175,-0.0161925,0.256389979,,-0.0161925
0,-0.01651,0.243357179,,-0.01651
0,-0.0142875,0.243357179,,-0.0142875
0,-0.0180975,0.243357179,,-0.0180975
0.0003175,-0.01905,0.243357179,,-0.01905
0.0015875,-0.01524,0.243357179,,-0.01524
-0.0003175,-0.0149225,0.256063034,,-0.0149225
0,-0.01524,0.243980533,,-0.01524
0,-0.018415,0.243980533,,-0.018415
0.0003175,-0.0180975,0.243980533,,-0.0180975
0.000635,-0.017145,0.244043044,,-0.017145
0,-0.0149225,0.243855607,,-0.0149225
0,-0.0161925,0.243980533,,-0.0161925
0,-0.017145,0.244043044,,-0.017145
0,-0.015875,0.243980533,,-0.015875
0,-0.0155575,0.243980533,,-0.0155575
0,-0.017145,0.243980533,,-0.017145
0.0003175,-0.0149225,0.243855607,,-0.0149225
0,-0.01651,0.243980533,,-0.01651
0,-0.01651,0.243918054,,-0.01651
-0.0003175,-0.0155575,0.243918054,,-0.0155575
0,-0.0174625,0.243980533,,-0.0174625
0.0003175,-0.018415,0.243980533,,-0.018415
0,-0.0193675,0.243980533,,-0.0193675
-0.0003175,-0.01397,0.243918054,,-0.01397
-0.0003175,-0.0168275,0.243980533,,-0.0168275
0,-0.0155575,0.243980533,,-0.0155575
0.0003175,-0.013335,0.243918054,,-0.013335
0,-0.0155575,0.243980533,,-0.0155575
0,-0.0155575,0.243918054,,-0.0155575
0.0003175,-0.018415,0.243980533,,-0.018415
0.0003175,-0.0161925,0.243918054,,-0.0161925
0.0015875,-0.017145,0.243918054,,-0.017145
0,-0.015875,0.243980533,,-0.015875
0,-0.0149225,0.243980533,,-0.0149225
0,-0.0174625,0.243980533,,-0.0174625
0.0003175,-0.0155575,0.243980533,,-0.0155575
0,-0.0136525,0.244043044,,-0.0136525
-0.0003175,-0.017145,0.243980533,,-0.017145
0,-0.0155575,0.243918054,,-0.0155575
0.0003175,-0.0149225,0.243855607,,-0.0149225
-0.0003175,-0.014605,0.243980533,,-0.014605
-0.0015875,-0.0161925,0.243980533,,-0.0161925
0.0003175,-0.01778,0.243980533,,-0.01778
0,-0.015875,0.243918054,,-0.015875
0,-0.0187325,0.243855607,,-0.0187325
0,-0.01905,0.243918054,,-0.01905
-0.0003175,-0.01143,0.245300026,,-0.01143
0,-0.0174625,0.245236869,,-0.0174625
0,-0.01524,0.245236869,,-0.01524
0.0003175,-0.0142875,0.245236869,,-0.0142875
0,-0.0155575,0.245236869,,-0.0155575
0,-0.0155575,0.245236869,,-0.0155575
0,-0.019685,0.245236869,,-0.019685
-0.0003175,-0.01778,0.245300026,,-0.01778
0.001905,-0.015875,0.245173745,,-0.015875
0.001905,-0.0142875,0.245300026,,-0.0142875
0,-0.017145,0.245806452,,
-0.0015875,-0.019685,0.245996901,,
0,-0.01524,0.245806452,,
0,-0.01778,0.245806452,,
0.0003175,-0.01524,0.245933385,,
0,-0.01524,0.245869902,,
0,-0.01524,0.245806452,,
0.0003175,-0.0155575,0.245869902,,
0,-0.014605,0.245933385,,
