Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),,,,,
0,-0.2,0.15,0,0.0395,-0.0161,-1.0065,0,0,0,,,,,
2,-0.15,0.12,0,0.0395,-0.0163,-1.0064,0,0,0,,,,,
4,-0.09,0.09,0,0.0395,-0.0163,-1.0063,0,0,0,,,,,
6,-0.03,0.05,0.01,0.0396,-0.0163,-1.0066,0,0,0,,,,,
8,0.01,0.03,0.01,0.0396,-0.0162,-1.0064,0,0,0,,,,,
10,0.03,0.02,0.01,0.0397,-0.0162,-1.0063,0,0,0,,,,,
12,0.04,0.01,0.01,0.0398,-0.0164,-1.0062,0,0,0,,,,,
15,0.04,0.02,0.02,0.0396,-0.0163,-1.0063,0,0,0,,,,,
18,0.04,0.02,0.02,0.0396,-0.0163,-1.0064,0,0,0,,,,,
20,0.05,0.01,0.02,0.0395,-0.0164,-1.0063,0,0,0,,,,,
22,0.06,0.01,0.01,0.0396,-0.0163,-1.0063,0,0,0,,,,,
24,0.08,0,0.01,0.0395,-0.0163,-1.0066,0,0,0,,,,,
26,0.09,0,0.01,0.0393,-0.0163,-1.0065,0,0,0,,,,,
28,0.09,0,0.01,0.0392,-0.0163,-1.0065,0,0,0,,,,,
30,0.09,0.01,0.01,0.0392,-0.0161,-1.0065,0,0,0,,,,,
32,0.07,0.02,0.01,0.0392,-0.0161,-1.0066,0,0,0,,,,,¨‹¡ø
34,0.05,0.03,0.01,0.0393,-0.0158,-1.0064,0,0,0,,,,,
36,0.03,0.04,0,0.0394,-0.0158,-1.0066,0,0,0,,,,,
38,0.03,0.04,0,0.0394,-0.0159,-1.0068,0,0,0,,,,,
40,0.03,0.04,0.01,0.0392,-0.0161,-1.0071,0,0,0,,,,,
42,0.03,0.05,0.01,0.0391,-0.0163,-1.0074,0,0,0,,,,,
44,0.04,0.04,0.01,0.0392,-0.0163,-1.0076,0,0,0,,,,,
46,0.03,0.05,0.01,0.0392,-0.0164,-1.0079,0,0,0,,,,,
48,0.03,0.05,0.01,0.0393,-0.0165,-1.0079,0,0,0,,,,,
51,0.02,0.06,0.01,0.0392,-0.0165,-1.0079,0,0,0,,,,,
53,0.01,0.06,0.02,0.039,-0.0165,-1.0078,0,0,0,,,,,
55,0,0.07,0.02,0.039,-0.0165,-1.0076,0,0,0,,,,,
